class_uri,class_curie,class_label,predicate_uri,predicate_curie,predicate_label,count
http://wembrewind.live/ex#MusicInstrument,ex:MusicInstrument,ex:MusicInstrument,http://schema.org/name,schema:name,schema:name,15
http://wembrewind.live/ex#MusicInstrument,ex:MusicInstrument,ex:MusicInstrument,http://www.w3.org/2000/01/rdf-schema#label,rdfs:label,rdfs:label,15
http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,http://schema.org/description,schema:description,schema:description,12
http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,http://schema.org/name,schema:name,schema:name,12
http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#hasBody,http://www.w3.org/ns/oa#hasBody,http://www.w3.org/ns/oa#hasBody,12
http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://purl.org/dc/terms/subject,dcterms:subject,dcterms:subject,11
http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#hasTarget,http://www.w3.org/ns/oa#hasTarget,http://www.w3.org/ns/oa#hasTarget,11
http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,http://schema.org/citation,schema:citation,schema:citation,10
http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,http://schema.org/url,schema:url,schema:url,10
http://schema.org/Organization,schema:Organization,schema:Organization,http://schema.org/name,schema:name,schema:name,10
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,http://schema.org/image,schema:image,schema:image,10
http://www.w3.org/2004/02/skos/core#Concept,skos:Concept,skos:Concept,http://www.w3.org/2004/02/skos/core#inScheme,skos:inScheme,skos:inScheme,9
http://www.w3.org/2004/02/skos/core#Concept,skos:Concept,skos:Concept,http://www.w3.org/2004/02/skos/core#prefLabel,skos:prefLabel,skos:prefLabel,9
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://schema.org/description,schema:description,schema:description,9
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://wembrewind.live/ex#isIconic,ex:isIconic,ex:isIconic,9
http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,http://schema.org/isPartOf,schema:isPartOf,schema:isPartOf,8
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/location,schema:location,schema:location,7
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://wembrewind.live/ex#hasChallenge,ex:hasChallenge,ex:hasChallenge,7
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,7
